KEY,English,Indonesia,Sunda
Play,PLAY,MAIN,MAEN
Customize,CUSTOMIZE,ATURAN,OPREKEUN
Tutorial,TUTORIAL,CARA MAIN,CARA MAEN
Exit,EXIT,KELUAR,KALUAR
Arcade,ARCADE,ARCADE,ARCADE
TimeAttack,TIME ATTACK,SERANGAN WAKTU,DIUDAG WAKTOS
Profile,PROFILE, PROFIL, PROPIL
BuyItem,BUY ITEM,BELI BARANG,MESER BARANG
Back,BACK,KEMBALI,BALIKAN
Cancel,CANCEL,BATAL,TEU JADI
Language,LANGUAGE,BAHASA,BASA
English,ENGLISH, INGGRIS, INGGRIS
Indonesia, INDONESIAN,INDONESIA,INDONESIA
Sunda, SUNDANESE, BAHASA SUNDA,BASA SUNDA
